Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Turner & Townsend,0,YES Administrator,18-02-2019 10:35:56,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Biddulphs Removals and Storage SA (Pty) Ltd,230534644,YES Administrator,18-02-2019 13:56:20,April,25,Registered,yes,NA,01-03-2019,no,Archived,no,NA,NA,0
Woodford Group (Pty) Ltd,184000000,YES Administrator,18-02-2019 14:28:48,March,9,Registered,yes,In-House 5000,18-02-2019,no,On Track,yes,NA,Yes,0
De Wet Wynkelder (Edms) Bpk,29000000,YES Administrator,19-02-2019 10:57:52,August,2,Registered,yes,Small Biz 1700,25-02-2019,no,On Track,yes,NA,Yes,0
Simba Pty Ltd,0,Leseli Lolwana,19-02-2019 11:04:46,January,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
PCD Assessments,0,YES Administrator,19-02-2019 14:06:37,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
triVector (Pty) Ltd,0,YES Administrator,20-02-2019 09:48:55,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Blue Flag Management Pty Ltd,0,YES Administrator,20-02-2019 09:59:44,March,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
College of Production Technology (Pty) Ltd,16138879,YES Administrator,20-02-2019 10:02:57,March,6,Registered,yes,Small Biz 1700,01-11-2018,no,On Track,yes,NA,Yes,0
Giesecke and Devrient Currency Technology South Africa (Pty) Ltd,253581256,YES Administrator,20-02-2019 13:29:44,January,11,Registered,yes,In-House 5000,01-04-2019,no,NA,yes,NA,Yes,0
DRS MASHAO&DZICHAIYA INC,66,YES Administrator,20-02-2019 14:17:13,April,5,Registered,yes,NA,NA,no,Archived,no,NA,NA,0
Gertmash trading,0,YES Administrator,20-02-2019 22:03:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Lowveld Garage Equipment Nelspruit (Pty) Ltd.,46913819,YES Administrator,21-02-2019 09:48:18,March,3,Registered,yes,Small Biz 1700,01-02-2019,no,On Track - July 2019,yes,NA,Yes,0
TURNING POINT Global,0,YES Administrator,21-02-2019 10:10:51,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
BLXCQ,0,YES Administrator,21-02-2019 13:49:14,February,50,Awaiting Pledge and Payment,no,NA,NA,no,Archived,no,NA,NA,0
Ballena Trading 33 (Pty) Ltd t/a G-Man Traders,44675000,YES Administrator,21-02-2019 14:54:35,March,2,Registered,yes,Small Biz 1700,28-02-2019,no,On Track,yes,Yes,Yes,0
HVAC Installations (Pty) Ltd,0,YES Administrator,21-02-2019 14:56:12,February,18,Registered,no,In-House 5000,01-03-2019,no,On Track,yes,NA,Partial Delivery,0
Babcock Ntuthuko Engineering (Pty) Ltd,2602341000,YES Administrator,21-02-2019 15:18:01,April,16,Registered,yes,In-House 5000,15-03-2019,no,NA,yes,NA,Yes,1
South Africa Cargo Services,0,YES Administrator,21-02-2019 15:34:28,NA,0,Initial Signup,no,NA,NA,no,On Hold - Transport Sector,no,NA,NA,0
Elemental Anayltics ( Pty) Ltd,79834319,YES Administrator,22-02-2019 08:06:00,March,7,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
Averge Technologies Pty Ltd,297060469,YES Administrator,22-02-2019 08:51:03,March,11,Registered,yes,In-House 5000,01-06-2019,no,On - Track August 2019,yes,NA,NA,0
